name,latitude_deg,longitude_deg,iso_country
Adolfo Suárez Madrid–Barajas Airport,40.471926,-3.56264,Spain
Málaga-Costa del Sol Airport,36.6749,-4.49911,Spain
Palma de Mallorca Airport,39.551701,2.73881,Spain
Santiago-Rosalía de Castro Airport,42.896301,-8.41514,Spain
Valencia Airport,39.4893,-0.481625,Spain
Bordeaux–Mérignac Airport,44.82865,-0.715356,France
Toulouse-Blagnac Airport,43.629101,1.36382,France
Lyon Saint-Exupéry Airport,45.725996,5.090139,France
Marseille Provence Airport,43.438088,5.2125,France
Nice-Côte d'Azur Airport,43.658401,7.21587,France
Charles de Gaulle International Airport,49.012798,2.55,France
Paris-Orly Airport,48.72333,2.37944,France
EuroAirport Basel–Mulhouse–Freiburg,47.60068,7.521117,France
Athens Eleftherios Venizelos International Airport,37.936401,23.9445,Greece
Heraklion International Nikos Kazantzakis Airport,35.339699,25.1803,Greece
Thessaloniki Macedonia International Airport,40.51928,22.970009,Greece
Budapest Liszt Ferenc International Airport,47.43018,19.262393,Hungary
Bari Karol Wojtyła International Airport,41.138901,16.760599,Italy
Brindisi Airport,40.6576,17.947001,Italy
Catania-Fontanarossa Airport,37.466801,15.0664,Italy
Falcone–Borsellino Airport,38.175999,13.091,Italy
Cagliari Elmas Airport,39.251499,9.05428,Italy
Milan Malpensa International Airport,45.6306,8.72811,Italy
Milan Bergamo Airport / Antonio Locatelli Air Base,45.670725,9.709223,Italy
Turin Airport,45.200802,7.64963,Italy
Genoa Cristoforo Colombo Airport,44.412039,8.840732,Italy
Bologna Guglielmo Marconi Airport,44.5354,11.2887,Italy
Verona Villafranca Valerio Catullo Airport,45.394955,10.887303,Italy
Venice Marco Polo Airport,45.505299,12.3519,Italy
Rome–Fiumicino Leonardo da Vinci International Airport,41.804532,12.251998,Italy
Naples International Airport,40.886002,14.2908,Italy
Pisa International Airport,43.683899,10.3927,Italy
"Florence Airport, Peretola",43.808558,11.202822,Italy
Ljubljana Jože Pučnik Airport,46.223701,14.4576,Slovenia
Václav Havel Airport Prague,50.100874,14.259911,Czech Republic
Ben Gurion International Airport,32.011398,34.8867,Israel
Ramon International Airport,29.727009,35.014116,Israel
Malta International Airport,35.857498,14.4775,Malta
Vienna International Airport,48.110298,16.5697,Austria
Faro Airport,37.0144004822,-7.96590995789,Portugal
Madeira International Airport Cristiano Ronaldo,32.697899,-16.7745,Portugal
João Paulo II Airport,37.7411994934,-25.6979007721,Portugal
Francisco de Sá Carneiro Airport,41.2481002808,-8.68138980865,Portugal
Lisbon Humberto Delgado Airport,38.7813,-9.13592,Portugal
Sarajevo International Airport,43.8246,18.331499,Bosnia Herzegovina
Bucharest Henri Coandă International Airport,44.572127,26.103396,Romania
Geneva Cointrin International Airport,46.238098,6.10895,Switzerland
Zürich Airport,47.458056,8.548056,Switzerland
Esenboğa International Airport,40.128101,32.995098,Turkey
Antalya International Airport,36.898701,30.800501,Turkey
Adnan Menderes International Airport,38.2924,27.157,Turkey
Dalaman International Airport,36.7131004333,28.7924995422,Turkey
Çukurova International Airport,36.890908,35.070522,Turkey
Milas Bodrum International Airport,37.250599,27.664301,Turkey
Istanbul Sabiha Gökçen International Airport,40.898602,29.3092,Turkey
İstanbul Airport,41.261297,28.741951,Turkey
Skopje International Airport,41.958087,21.622581,Macedonia
Gibraltar Airport,36.151199,-5.34966,Gibraltar
Belgrade Nikola Tesla Airport,44.818401,20.309099,Serbia
Podgorica Airport / Podgorica Golubovci Airbase,42.359402,19.2519,Montenegro
M. R. Štefánik Airport,48.1702,17.2127,Slovakia
Providenciales International Airport,21.773697,-72.268321,Turks and Caicos
Casa De Campo International Airport,18.452222,-68.911111,Dominican Republic
Punta Cana International Airport,18.5674,-68.363403,Dominican Republic
Las Américas International Airport,18.42970085144,-69.668899536133,Dominican Republic
La Aurora Airport,14.5833,-90.527496,Guatemala
Norman Manley International Airport,17.935699462890625,-76.7874984741211,Jamaica
Cozumel International Airport,20.514922,-86.928538,Mexico
General Guadalupe Victoria International Airport,24.125468,-104.527938,Mexico
Guadalajara International Airport,20.523342,-103.310108,Mexico
Manuel Crescencio Rejón International Airport,20.930485,-89.645462,Mexico
Benito Juárez International Airport,19.435137,-99.071328,Mexico
Monterrey International Airport,25.778521,-100.106989,Mexico
General Rafael Buelna International Airport,23.161474,-106.264572,Mexico
Puerto Vallarta International Airport,20.679913,-105.254391,Mexico
Los Cabos International Airport,23.151919,-109.720731,Mexico
General Felipe Ángeles International Airport,19.7357,-99.0257,Mexico
General Abelardo L. Rodriguez International Airport,32.541043,-116.969976,Mexico
Cancún International Airport,21.039444,-86.874304,Mexico
Tocumen International Airport,9.07136,-79.383499,Panama
Guanacaste Airport,10.5933,-85.544403,Costa Rica
Juan Santamaría International Airport,9.99386,-84.208801,Costa Rica
Monseñor Óscar Arnulfo Romero International Airport,13.4409,-89.055702,El Salvador
Toussaint Louverture International Airport,18.580023,-72.292596,Haiti
José Martí International Airport,22.989200592041016,-82.40910339355469,Cuba
Juan Gualberto Gomez International Airport,23.034401,-81.435303,Cuba
Owen Roberts International Airport,19.292801,-81.357697,Cayman Islands
Lynden Pindling International Airport,25.039,-77.466202,Bahamas
Philip S. W. Goldson International Airport,17.539951,-88.303556,Belize
Faa'a International Airport,-17.553699,-149.606995,French Polynesia
Bauerfield International Airport,-17.699301,168.320007,Vanuatu
Auckland International Airport,-37.01199,174.786331,New Zealand
Christchurch International Airport,-43.489029,172.532065,New Zealand
Wellington International Airport,-41.327202,174.804993,New Zealand
Bahrain International Airport,26.267295,50.63764,Bahrain
Abha International Airport,18.2404,42.656601,Saudi Arabia
King Fahd International Airport,26.471201,49.797901,Saudi Arabia
King Abdulaziz Air Base,26.2654,50.152,Saudi Arabia
King Abdulaziz International Airport,21.6796,39.156502,Saudi Arabia
Prince Mohammad Bin Abdulaziz Airport,24.5534,39.705101,Saudi Arabia
King Khaled International Airport,24.9576,46.698799,Saudi Arabia
Imam Khomeini International Airport,35.416099548339844,51.15219879150391,Iran
Mehrabad International Airport,35.68920135498047,51.31340026855469,Iran
Mashhad International Airport,36.235198974609375,59.64099884033203,Iran
Shiraz Shahid Dastghaib International Airport,29.5392,52.589802,Iran
Queen Alia International Airport,31.7226009369,35.9931983948,Jordan
Kuwait International Airport,29.226601,47.968899,Kuwait
Beirut Rafic Hariri International Airport,33.820899963378906,35.488399505615234,Lebanon
Duqm International Airport,19.501944,57.634167,Oman
Zayed International Airport,24.443764,54.651718,United Arab Emirates
Dubai International Airport,25.2527999878,55.3643989563,United Arab Emirates
Al Maktoum International Airport,24.896356,55.161389,United Arab Emirates
Sharjah International Airport,25.3286,55.5172,United Arab Emirates
Muscat International Airport,23.5933,58.284401,Oman
Islamabad International Airport,33.549,72.82566,Pakistan
Jinnah International Airport,24.9065,67.160797,Pakistan
Allama Iqbal International Airport,31.521601,74.403603,Pakistan
Baghdad International Airport / New Al Muthana Air Base,33.262501,44.2346,Iraq
Damascus International Airport,33.4114990234375,36.51559829711914,Syria
Hamad International Airport,25.273056,51.608056,Qatar
Ted Stevens Anchorage International Airport,61.179004,-149.992561,United States
Antonio B. Won Pat International Airport,13.485,144.797282,Guam
Daniel K Inouye International Airport,21.32062,-157.924228,United States
Kahului International Airport,20.896263,-156.431837,United States
Kaohsiung International Airport,22.577101,120.349998,Taiwan
Taiwan Taoyuan International Airport,25.0777,121.233002,Taiwan
Narita International Airport,35.764702,140.386002,Japan
Kansai International Airport,34.427299,135.244003,Japan
New Chitose Airport,42.7752,141.692001,Japan
Fukuoka Airport,33.585899353027344,130.4510040283203,Japan
Kagoshima Airport,31.8034,130.718994,Japan
Chubu Centrair International Airport,34.858398,136.804993,Japan
